
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
chrome.exe                    9284 Console                    8     50,044 K
chrome.exe                   20148 Console                    8     30,356 K
chrome.exe                     556 Console                    8     55,656 K
chrome.exe                    3292 Console                    8     40,068 K
chrome.exe                   13256 Console                    8     31,056 K
audiodg.exe                  22184 Services                   0     23,656 K
NeteaseMusic.exe              3684 Console                    8    151,056 K
RuntimeBroker.exe            20208 Console                    8     24,756 K
Windows.Media.BackgroundP    15508 Console                    8     58,160 K
chrome.exe                   21940 Console                    8     16,044 K
chrome.exe                    7896 Console                    8     72,396 K
chrome.exe                   19340 Console                    8     51,852 K
chrome.exe                   14920 Console                    8     36,544 K
YoudaoNote.exe               23220 Console                    8     69,412 K
YNoteCefRender.exe            4564 Console                    8     30,044 K
YNoteCefRender.exe           23384 Console                    8    149,824 K
DocToPDF.exe                 21616 Console                    8     14,404 K
svchost.exe                  21848 Services                   0      5,388 K
WmiPrvSE.exe                   760 Services                   0      9,920 K
WmiPrvSE.exe                 22128 Services                   0     13,400 K
Thunder.exe                  23120 Console                    8     46,764 K
xlbrowser.exe                14848 Console                    8     44,796 K
xlbrowser.exe                 8228 Console                    8     43,420 K
xlbrowser.exe                19500 Console                    8    100,920 K
DownloadSDKServer.exe        12356 Console                    8     21,976 K
conhost.exe                  22280 Console                    8     10,916 K
chrome.exe                   23028 Console                    8     22,012 K
GoogleUpdate.exe             13164 Services                   0      3,028 K
svchost.exe                  12328 Services                   0      7,368 K
SearchFilterHost.exe          8308 Services                   0     10,412 K
SearchProtocolHost.exe       14576 Services                   0     13,008 K
java.exe                     16372 Console                    8     23,608 K
java.exe                     13632 Console                    8     39,656 K
conhost.exe                    512 Console                    8      9,860 K
conhost.exe                   7268 Console                    8      9,848 K
tasklist.exe                  4912 Console                    8      7,488 K
conhost.exe                   9068 Console                    8      9,724 K
